273,	0.19618135	
274,	0.43383193	
275,	0.7847254	
276,	1.12764402	
277,	1.31744549	
278,	1.22653218	
279,	0.77675055	
280,	-0.00956982	
281,	-1.01599609	
282,	-2.04953686	
283,	-2.88689628	
284,	-3.33986785	
285,	-3.30158856	
286,	-2.78162824	
287,	-1.90120462	
288,	-0.859689	
289,	0.11483786	
290,	0.81981475	
291,	1.1340239	
292,	1.03673071	
293,	0.61087363	
294,	0.02551953	
295,	-0.5103905	
296,	-0.79429522	
297,	-0.67626742	
298,	-0.1020781	
299,	0.88520853	
300,	2.14045017	
301,	3.45470572	
302,	4.5951095	
303,	5.35750531	
304,	5.60632068	
305,	5.30008638	
306,	4.49622134	
307,	3.33029803	
308,	1.98892799	
309,	0.66510262	
310,	-0.4784911	
311,	-1.33977507	
312,	-1.89322977	
313,	-2.18351437	
314,	-2.311112	
315,	-2.39883536	
316,	-2.5583324	
317,	-2.86935161	
318,	-3.35741253	
319,	-4.00178054	
320,	-4.74982162	
321,	-5.54252187	
322,	-6.32724726	
323,	-7.0720984	
324,	-7.76272055	
325,	-8.39592377	
326,	-8.96054326	
327,	-9.44541424	
328,	-9.83618197	
329,	-10.13125148	
330,	-10.35135738	
331,	-10.54753873	
332,	-10.79156919	
333,	-11.17117213	
334,	-11.7533363	
335,	-12.5699611	
336,	-13.59393205	
337,	-14.74231068	
338,	-15.88749937	
339,	-16.87957091	
340,	-17.59252264	
341,	-17.95139097	
342,	-17.95617588	
343,	-17.68981583	
344,	-17.2990481	
345,	-16.96569931	
346,	-16.86043127	
347,	-17.11084161	
348,	-17.77434926	
349,	-18.82383973	
350,	-20.16680474	
351,	-21.64853217	
352,	-23.09676522	
353,	-24.34243704	
354,	-25.24838018	
355,	-25.7204914	
356,	-25.70932661	
357,	-25.21807575	
358,	-24.28661308	
359,	-22.97554748	
360,	-21.36941236	
361,	-19.54476632	
362,	-17.573383	
363,	-15.50789643	
364,	-13.38020602	
365,	-11.2158313	
366,	-9.0498616	
367,	-6.9381209	
368,	-4.97790237	
369,	-3.28563886	
370,	-1.98095314	
371,	-1.14518869	
372,	-0.78632037	
373,	-0.83097954	
374,	-1.12445408	
375,	-1.47534755	
376,	-1.69545345	
377,	-1.65238925	
378,	-1.28873602	
379,	-0.62841831	
380,	0.25360028	
381,	1.2520517	
382,	2.27123774	
383,	3.23140987	
384,	4.07674414	
385,	4.76258138	
386,	5.24266745	
387,	5.45639347	
388,	5.35750531	
389,	4.91091362	
390,	4.12299828	
391,	3.05277319	
392,	1.79753155	
393,	0.48327601	
394,	-0.77037067	
395,	-1.8756851	
396,	-2.7784383	
397,	-3.46268057	
398,	-3.93000687	
399,	-4.19636692	
400,	-4.28409028	
401,	-4.22667135	
402,	-4.07993408	
403,	-3.91884208	
404,	-3.81676398	
405,	-3.83111871	
406,	-3.96988113	
407,	-4.18520212	
408,	-4.38457341	
409,	-4.45794205	
410,	-4.30641987	
411,	-3.87099297	
412,	-3.14687644	
413,	-2.17234958	
414,	-1.01440112	
415,	0.24562543	
416,	1.52957654	
417,	2.76886848	
418,	3.90608232	
419,	4.90612871	
420,	5.76900765	
421,	6.53140347	
422,	7.26189987	
423,	8.04343533	
424,	8.93980865	
425,	9.9637796	
426,	11.06271415	
427,	12.11060965	
428,	12.95115901	
429,	13.42805513	
430,	13.4408149	
431,	12.9623238	
432,	12.04840581	
433,	10.8234686	
434,	9.4422243	
435,	8.06735988	
436,	6.83763777	
437,	5.85832599	
438,	5.17727366	
439,	4.80245564	
440,	4.68123789	
441,	4.70835239	
442,	4.73865682	
443,	4.60946423	
444,	4.18520212	
445,	3.3749572	
446,	2.17872946	
447,	0.67945736	
448,	-0.96814698	
449,	-2.57109216	
450,	-3.9443616	
451,	-4.95716776	
452,	-5.54252187	
453,	-5.71477866	
454,	-5.53454701	
455,	-5.08636035	
456,	-4.44518229	
457,	-3.65886192	
458,	-2.74653889	
459,	-1.7145931	
460,	-0.56780943	
461,	0.66510262	
462,	1.93629397	
463,	3.18515573	
464,	4.35426898	
465,	5.4117343	
466,	6.36393158	
467,	7.25233005	
468,	8.15508325	
469,	9.14715479	
470,	10.29393845	
471,	11.61297891	
472,	13.07078178	
473,	14.57164885	
474,	15.96724789	
475,	17.06777741	
476,	17.68343595	
477,	17.64196672	
478,	16.83491174	
479,	15.24153639	
480,	12.94318416	
481,	10.11530178	
482,	7.01467947	
483,	3.92362699	
484,	1.11966917	
485,	-1.18027804	
486,	-2.84861699	
487,	-3.86620806	
488,	-4.31758466	
489,	-4.37340862	
490,	-4.26654561	
491,	-4.23783614	
492,	-4.51057607	
493,	-5.23469259	
494,	-6.46600968	
495,	-8.14870337	
496,	-10.1248716	
497,	-12.15686379	
498,	-13.98629475	
499,	-15.37710887	
500,	-16.16342924	
501,	-16.2782671	
