'Elapsed time','EMG'
'seconds','mV'
0.093,0.007
0.094,-0.003
0.094,-0.003
0.094,-0.010
0.095,-0.008
0.095,-0.005
0.095,-0.008
0.095,-0.003
0.096,-0.005
0.096,-0.002
0.096,-0.007
0.096,-0.005
0.097,-0.007
0.097,-0.008
0.097,-0.008
0.097,-0.010
0.098,-0.010
0.098,-0.008
0.098,-0.008
0.098,-0.005
0.099,-0.005
0.099,-0.007
0.099,-0.007
0.099,-0.003
0.100,-0.005
0.100,-0.010
0.100,-0.008
0.100,-0.012
0.101,-0.013
0.101,-0.030
0.101,-0.030
0.101,-0.037
0.102,-0.037
0.102,-0.035
0.102,-0.033
0.102,-0.030
0.102,-0.030
0.103,-0.022
0.103,-0.022
0.103,-0.017
0.103,-0.017
0.104,-0.013
0.104,-0.012
0.104,0.002
0.104,0.002
0.105,0.008
0.105,0.007
0.105,-0.002
0.105,-0.002
0.106,-0.058
0.106,-0.062
0.106,-0.147
0.106,-0.150
0.107,-0.118
0.107,-0.113
0.107,-0.005
0.107,0.000
0.108,0.080
0.108,0.082
0.108,0.090
0.108,0.080
0.109,0.047
0.109,0.047
0.109,0.030
0.110,0.030
0.110,0.023
0.110,0.025
0.110,0.022
0.111,0.020
0.111,0.028
0.111,0.028
0.111,0.033
0.112,0.032
0.112,0.037
0.112,0.037
0.112,0.055
0.113,0.070
0.113,0.052
0.113,0.002
0.113,0.153
0.114,0.263
0.114,-0.025
0.114,0.218
0.114,-0.195
0.115,-0.212
0.115,-0.267
0.115,-0.265
0.115,-0.117
0.116,-0.113
0.116,-0.065
0.116,-0.063
0.116,-0.048
0.117,-0.048
0.117,-0.038
0.117,-0.038
0.117,-0.045
0.117,-0.045
0.118,-0.040
0.118,-0.045
0.118,-0.047
0.118,-0.045
0.119,-0.038
0.119,-0.038
0.119,-0.028
0.119,-0.030
0.120,-0.023
0.120,-0.023
0.120,-0.020
0.120,-0.020
0.121,-0.017
0.121,-0.018
0.121,-0.022
0.121,-0.022
0.122,-0.018
0.122,-0.018
0.122,-0.010
0.122,-0.008
0.123,-0.003
0.123,-0.002
0.123,0.008
0.123,0.008
0.124,0.022
0.124,0.022
0.124,0.027
0.124,0.027
0.125,0.013
0.125,0.013
0.125,-0.017
0.126,-0.018
0.126,-0.048
0.126,-0.048
0.126,-0.065
0.127,-0.067
0.127,-0.062
0.127,-0.060
0.127,-0.047
0.128,-0.047
0.128,-0.040
0.128,-0.040
0.128,-0.038
0.129,-0.040
0.129,-0.045
0.129,-0.043
0.129,-0.047
0.130,-0.047
0.130,-0.043
0.130,-0.042
0.130,-0.037
0.131,-0.037
0.131,-0.030
0.131,-0.030
0.131,-0.027
0.132,-0.027
0.132,-0.020
0.132,-0.020
0.132,-0.015
0.133,-0.017
0.133,-0.012
0.133,-0.012
0.133,-0.017
0.134,-0.017
0.134,-0.018
0.134,-0.017
0.134,-0.027
0.135,-0.027
0.135,-0.033
0.135,-0.033
0.135,-0.040
0.136,-0.040
0.136,-0.045
0.136,-0.043
0.136,-0.047
0.137,-0.047
0.137,-0.050
0.137,-0.050
0.137,-0.047
0.138,-0.047
0.138,-0.038
0.138,-0.038
0.138,-0.028
0.139,-0.028
0.139,-0.023
0.139,-0.023
0.139,-0.027
0.140,-0.023
0.140,-0.022
0.140,-0.023
0.140,-0.020
0.141,-0.022
0.141,-0.018
0.141,-0.018
0.141,-0.017
0.141,-0.018
0.142,-0.022
0.142,-0.022
0.142,-0.028
0.142,-0.025
0.143,-0.015
0.143,-0.013
0.143,-0.007
0.143,-0.005
0.144,0.000
0.144,0.000
0.144,0.007
0.144,0.007
0.145,0.018
0.145,0.017
0.145,0.032
0.145,0.033
0.146,0.052
0.146,0.053
0.146,0.082
0.146,0.083
0.147,0.128
0.147,0.132
0.147,0.175
0.147,0.195
0.148,0.063
0.148,0.050
0.148,-0.040
0.148,0.037
0.149,0.083
0.149,0.080
0.149,0.123
0.149,0.125
0.150,0.142
0.150,0.135
0.150,0.083
0.150,0.080
0.151,0.005
0.151,0.003
0.151,-0.052
0.151,-0.052
0.152,-0.080
0.152,-0.080
0.152,-0.100
0.152,-0.100
0.153,-0.107
0.153,-0.107
0.153,-0.110
0.153,-0.108
0.154,-0.102
0.154,-0.102
0.154,-0.095
0.154,-0.095
0.155,-0.083
0.155,-0.083
0.155,-0.073
0.155,-0.073
0.156,-0.058
0.156,-0.057
0.156,-0.033
0.157,-0.032
0.157,-0.017
0.157,-0.017
0.157,-0.025
0.158,-0.025
0.158,-0.033
0.158,-0.033
0.158,-0.038
0.159,-0.038
0.159,-0.043
0.159,-0.043
0.159,-0.038
0.160,-0.038
0.160,-0.038
0.160,-0.035
0.160,-0.037
0.161,-0.030
0.161,-0.030
0.161,-0.023
0.161,-0.025
0.162,-0.020
0.162,-0.020
0.162,-0.015
0.162,-0.015
0.163,-0.008
0.163,-0.010
0.163,-0.005
0.163,-0.007
0.164,-0.003
0.164,-0.005
0.164,-0.003
0.164,-0.005
0.165,-0.010
0.165,-0.007
0.165,-0.010
0.165,-0.007
0.166,-0.002
0.166,-0.003
0.166,0.002
0.166,0.002
0.167,0.000
0.167,0.002
0.167,0.008
0.167,0.008
0.168,0.015
0.168,0.015
0.168,0.020
0.168,0.020
0.169,0.030
0.169,0.030
0.169,0.038
0.169,0.038
0.170,0.048
0.170,0.050
0.170,0.065
0.170,0.067
0.171,0.122
0.171,0.148
0.171,-0.035
0.171,-0.057
