'Elapsed time','ECG ECG'
'seconds','mV'
0.730,-0.032
0.732,-0.033
0.734,-0.034
0.736,-0.034
0.738,-0.033
0.740,-0.031
0.742,-0.026
0.744,-0.020
0.746,-0.013
0.748,-0.006
0.750,0.001
0.752,0.006
0.754,0.010
0.756,0.011
0.758,0.012
0.760,0.013
0.762,0.014
0.764,0.018
0.766,0.024
0.768,0.031
0.770,0.037
0.772,0.042
0.774,0.043
0.776,0.040
0.778,0.035
0.780,0.027
0.782,0.017
0.784,0.008
0.786,-0.002
0.788,-0.011
0.790,-0.019
0.792,-0.028
0.794,-0.036
0.796,-0.044
0.798,-0.051
0.800,-0.058
0.802,-0.064
0.804,-0.069
0.806,-0.072
0.808,-0.074
0.810,-0.074
0.812,-0.073
0.814,-0.071
0.816,-0.069
0.818,-0.069
0.820,-0.071
0.822,-0.074
0.824,-0.078
0.826,-0.081
0.828,-0.082
0.830,-0.081
0.832,-0.078
0.834,-0.076
0.836,-0.075
0.838,-0.076
0.840,-0.080
0.842,-0.084
0.844,-0.087
0.846,-0.088
0.848,-0.086
0.850,-0.081
0.852,-0.075
0.854,-0.071
0.856,-0.069
0.858,-0.072
0.860,-0.079
0.862,-0.090
0.864,-0.103
0.866,-0.116
0.868,-0.125
0.870,-0.129
0.872,-0.125
0.874,-0.112
0.876,-0.088
0.878,-0.050
0.880,0.003
0.882,0.074
0.884,0.162
0.886,0.264
0.888,0.374
0.890,0.484
0.892,0.582
0.894,0.662
0.896,0.717
0.898,0.740
0.900,0.726
0.902,0.671
0.904,0.572
0.906,0.433
0.908,0.263
0.910,0.079
0.912,-0.100
0.914,-0.253
0.916,-0.368
0.918,-0.438
0.920,-0.466
0.922,-0.464
0.924,-0.442
0.926,-0.411
0.928,-0.380
0.930,-0.351
0.932,-0.327
0.934,-0.307
0.936,-0.290
0.938,-0.273
0.940,-0.255
0.942,-0.233
0.944,-0.207
0.946,-0.178
0.948,-0.146
0.950,-0.117
0.952,-0.092
